Plot.Year,AUPA,BEGL,CAAQ,CACA,CACH,CAGI,CAST1,CAST2,CHCA,CLAM,CLCE,CLCR,CLEC,CLGR,CLMI,CLPY,DIUN,DRRO,EQSC,ERCH,ERVA,FLCU,HYSP,LALA,LEDE,LEGR,METR,MYAN,OXMI,PEAP,PELA,PENE,PESC,PEVE,PIMA,PLSC,POST,PTCR,RHPS,RUCH,SAPE,SPAN,SPCA,SPFU,SPGI,SPMA,SPRI,SPSQ,SPUNK1,SPUNK2,SPUNK3,SPWA,TONI,UNK1,UNK2,UNK3,UNK4,UNK5,UNKGR,UNKSH,VAUL,VAVI
PP-SA3-17,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,5,0,0,0,80,0,0,0,0,0,0,0,0,0,0,5,0,0,0,15,15
PP-SA3-18,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,40,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,10,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30
PP-SA3-19,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,1,0,0,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,1,10,0,0,0,60,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,20
PP-SA4-17,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,10,1,0,0,60,0,0,0,0,0,1,0,0,0,0,10,0,50,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP-SA4-18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,40,0,0,0,0,0,1,0,0,0,0,5,0,45,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PP-SA4-19,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,10,1,0,0,50,0,0,0,0,0,1,0,0,0,0,10,0,44,0,20,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
PP-SD1-17,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,25,0,0,0,0,10,1,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,10
PP-SD1-18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,20,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PP-SD1-19,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,10,0,25,0,0,0,0,5,0,0,0,30,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,74,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,10
PP-SD2-17,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,5,0,5,0,0,0,0,20,0,0,0,3,0,0,0,0,0,1,25,0,0,0,30,0,40,0,0,0,0,0,0,0,0,0,10,24,0,0,0,0,0,0,0,1,30
PP-SD2-18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,15,0,0,0,5,0,0,0,0,0,0,20,0,0,0,40,0,30,1,0,0,20,0,0,0,0,0,1,20,0,0,0,0,0,0,0,1,20
PP-SD2-19,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,20,0,0,0,1,15,1,0,0,5,0,1,0,0,0,1,0,0,0,0,35,0,0,0,0,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20
PP-SD3-17,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,5,5
